sample_id,condition,question,answer,ground_truth,is_correct,vqa_accuracy_score,confidence,consistency,hallucination_flag,selected_pass,pass1_answer,pass2_answer,pass3_answer,latency_total_s,latency_pass1_s,latency_pass2_s,latency_pass3_s,gpu_util_avg_pct,peak_gpu_mem_gb,num_model_calls,modality
synth_full_00000,full,Is the background color light or dark?,light blue,light | light | medium,False,0.0,1.0,1.0,True,1,light blue,light blue,blue,1.3437,0.2775,0.216,0.0,21.0,9.14,2,image+text
synth_full_00001,full,Is the circle on the left or right side?,is the circle on the left side,left | left | left,True,1.0,1.0,1.0,False,1,is the circle on the left side,is the circle on the left side,left,0.9468,0.4447,0.4912,0.0,45.0,9.14,2,image+text
synth_full_00002,full,What color is the large rectangle?,the large rectangle is blue,teal | teal | green,False,0.0,1.0,1.0,True,1,the large rectangle is blue,the large rectangle is blue,blue,0.7077,0.3492,0.3485,0.0,48.0,9.14,2,image+text
synth_full_00003,full,What color is the background?,the background is white,cream | white | beige,True,0.3333,1.0,1.0,False,1,the background is white,the background is white,white,0.6165,0.3019,0.3041,0.0,46.5,9.14,2,image+text
synth_full_00004,full,Is the circle on the left or right side?,is the circle on the left side,left | left | left,True,1.0,1.0,1.0,False,1,is the circle on the left side,Is the circle on the left side,left,0.9367,0.4383,0.4878,0.0,41.5,9.14,2,image+text
synth_full_00005,full,What is the dominant color in this image?,the dominant color in this image is yellow,yellow | yellow | yellow,True,1.0,0.6,0.6667,False,1,the dominant color in this image is yellow,a dominant color in this image,yellow,1.15,0.486,0.4408,0.2116,42.0,9.14,3,image+text
synth_full_00006,full,Is the circle on the left or right side?,is the circle on the left side,left | left | center,True,0.6667,0.6,0.6667,False,1,is the circle on the left side,right side,left,0.9758,0.449,0.3033,0.2122,47.0,9.14,3,image+text
synth_full_00007,full,What color is the large rectangle?,the large rectangle is white,white | white | white,True,1.0,1.0,1.0,False,1,the large rectangle is white,the large rectangle is white,white,0.7221,0.3506,0.3613,0.0,47.0,9.14,2,image+text
synth_full_00008,full,What color is the circle in this image?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,0.482,0.2574,0.2145,0.0,46.5,9.14,2,image+text
synth_full_00009,full,What is the dominant color in this image?,blue,cyan | cyan | blue,True,0.3333,0.6,0.6667,False,2,cyan,blue,blue,0.7448,0.3061,0.2127,0.2147,47.0,9.14,3,image+text
synth_full_00010,full,What color is the large rectangle?,the large rectangle is green,green | green | green,True,1.0,1.0,1.0,False,1,the large rectangle is green,the large rectangle is green,green,0.7271,0.3532,0.3634,0.0,45.5,9.14,2,image+text
synth_full_00011,full,What is the dominant color in this image?,the dominant color in this image is purple,purple | purple | purple,True,1.0,1.0,1.0,False,1,the dominant color in this image is purple,the dominant color is purple,purple,0.8907,0.4833,0.3969,0.0,45.5,9.14,2,image+text
synth_full_00012,full,What color is the large rectangle?,green,lime | lime | green,True,0.3333,1.0,1.0,False,1,green,green,green,0.4784,0.3018,0.1666,0.0,44.0,9.14,2,image+text
synth_full_00013,full,Is the background color light or dark?,light,light | light | light,True,1.0,0.6,0.6667,False,2,dark,light,light,0.6484,0.2103,0.215,0.2123,44.0,9.14,3,image+text
synth_full_00014,full,Is the circle on the left or right side?,is the circle on the left side,left | left | center,True,0.6667,0.6,0.6667,False,1,is the circle on the left side,right side,left,0.9741,0.4404,0.3059,0.2166,43.0,9.14,3,image+text
