sample_id,condition,question,answer,ground_truth,is_correct,vqa_accuracy_score,confidence,consistency,hallucination_flag,selected_pass,pass1_answer,pass2_answer,pass3_answer,latency_total_s,latency_pass1_s,latency_pass2_s,latency_pass3_s,gpu_util_avg_pct,peak_gpu_mem_gb,num_model_calls,modality
synth_cot_baseline_00000,cot,Is the circle on the left or right side?,The circle is on the left side,left | left | left,True,1.0,0.75,1.0,False,1,The circle is on the left side,,,0.6181,0.6157,0.0,0.0,19.0,9.049,1,image+text
synth_cot_baseline_00001,cot,Is the circle on the left or right side?,The circle is on the left side,left | left | left,True,1.0,0.75,1.0,False,1,The circle is on the left side,,,0.5413,0.5402,0.0,0.0,38.0,9.049,1,image+text
synth_cot_baseline_00002,cot,Is the circle on the left or right side?,Is the circle on the left or right side,right | right | right,False,0.0,0.75,1.0,True,1,Is the circle on the left or right side,,,0.5913,0.59,0.0,0.0,37.5,9.049,1,image+text
synth_cot_baseline_00003,cot,What color is the large rectangle?,The large rectangle is blue.,blue | blue | blue,True,1.0,0.75,1.0,False,1,The large rectangle is blue.,,,0.4862,0.4849,0.0,0.0,37.5,9.049,1,image+text
synth_cot_baseline_00004,cot,What is the dominant color in this image?,red is the dominant color in this image,red | red | red,True,1.0,0.75,1.0,False,1,red is the dominant color in this image,,,0.488,0.4869,0.0,0.0,38.0,9.049,1,image+text
synth_cot_baseline_00005,cot,What is the dominant color in this image?,blue is the dominant color in this image,blue | blue | blue,True,1.0,0.75,1.0,False,1,blue is the dominant color in this image,,,0.4869,0.4857,0.0,0.0,38.5,9.049,1,image+text
synth_cot_baseline_00006,cot,What is the dominant color in this image?,The dominant color in this image is purple,purple | purple | purple,True,1.0,0.75,1.0,False,1,The dominant color in this image is purple,,,0.4937,0.4925,0.0,0.0,38.0,9.049,1,image+text
synth_cot_baseline_00007,cot,Is there a blue shape in this image?,Yes there is a blue shape in this image,yes | yes | yes,False,0.0,0.75,1.0,True,1,Yes there is a blue shape in this image,,,0.586,0.5848,0.0,0.0,37.5,9.049,1,image+text
synth_cot_baseline_00008,cot,Is the circle on the left or right side?,The circle is on the left side,left | left | left,True,1.0,0.75,1.0,False,1,The circle is on the left side,,,0.5414,0.54,0.0,0.0,38.0,9.049,1,image+text
synth_cot_baseline_00009,cot,What color is the circle?,a red circle with a black background,maroon | dark red | red,True,0.6667,0.75,1.0,False,1,a red circle with a black background,,,0.548,0.5469,0.0,0.0,37.0,9.049,1,image+text
synth_cot_baseline_00010,cot,What color is the large rectangle?,The large rectangle is blue.,blue | blue | blue,True,1.0,0.75,1.0,False,1,The large rectangle is blue.,,,0.4871,0.486,0.0,0.0,38.5,9.049,1,image+text
synth_cot_baseline_00011,cot,What color is the background?,a white background,white | white | white,True,1.0,0.8,1.0,False,1,a white background,,,0.3035,0.3024,0.0,0.0,44.0,9.049,1,image+text
synth_cot_baseline_00012,cot,What is the dominant color in this image?,The dominant color in this image is blue.,cyan | cyan | blue,True,0.3333,0.75,1.0,False,1,The dominant color in this image is blue.,,,0.5316,0.5304,0.0,0.0,43.5,9.049,1,image+text
synth_cot_baseline_00013,cot,What color is the large rectangle?,The large rectangle is green.,green | green | green,True,1.0,0.75,1.0,False,1,The large rectangle is green.,,,0.4936,0.4925,0.0,0.0,38.5,9.049,1,image+text
synth_cot_baseline_00014,cot,Is the circle on the left or right side?,The circle is on the left side,left | left | center,True,0.6667,0.75,1.0,False,1,The circle is on the left side,,,0.5021,0.5011,0.0,0.0,39.5,9.049,1,image+text
synth_cot_baseline_00015,cot,Is there a green shape in this image?,Yes there is a green shape in this image,yes | yes | yes,False,0.0,0.75,1.0,True,1,Yes there is a green shape in this image,,,0.6066,0.6055,0.0,0.0,38.0,9.049,1,image+text
synth_cot_baseline_00016,cot,What is the dominant color in this image?,The dominant color in this image is red.,maroon | maroon | dark red,True,0.3333,0.75,1.0,False,1,The dominant color in this image is red.,,,0.5418,0.5407,0.0,0.0,35.5,9.049,1,image+text
synth_cot_baseline_00017,cot,What color is the large rectangle?,The large rectangle is white.,white | white | white,True,1.0,0.75,1.0,False,1,The large rectangle is white.,,,0.6942,0.693,0.0,0.0,36.0,9.049,1,image+text
synth_cot_baseline_00018,cot,What color is the circle in this image?,The circle is red in this image,red | red | red,True,1.0,0.75,1.0,False,1,The circle is red in this image,,,0.4452,0.4441,0.0,0.0,36.5,9.049,1,image+text
synth_cot_baseline_00019,cot,What color is the large rectangle?,The large rectangle is red.,maroon | maroon | dark red,True,0.3333,0.75,1.0,False,1,The large rectangle is red.,,,0.4498,0.4487,0.0,0.0,39.5,9.049,1,image+text
synth_cot_baseline_00020,cot,What is the dominant color in this image?,blue is the dominant color in this image,blue | blue | blue,True,1.0,0.75,1.0,False,1,blue is the dominant color in this image,,,0.4973,0.4962,0.0,0.0,39.5,9.049,1,image+text
synth_cot_baseline_00021,cot,What is the dominant color in this image?,The dominant color in this image is purple,purple | purple | purple,True,1.0,0.75,1.0,False,1,The dominant color in this image is purple,,,0.4942,0.4931,0.0,0.0,38.0,9.049,1,image+text
synth_cot_baseline_00022,cot,Is there a red shape in this image?,"No, there is no red shape in this image",no | no | no,False,0.0,0.75,1.0,True,1,"No, there is no red shape in this image",,,0.5867,0.5856,0.0,0.0,38.0,9.049,1,image+text
synth_cot_baseline_00023,cot,Is the circle on the left or right side?,The circle is on the left side,left | left | center,True,0.6667,0.75,1.0,False,1,The circle is on the left side,,,0.5229,0.5218,0.0,0.0,40.5,9.049,1,image+text
synth_cot_baseline_00024,cot,What color is the circle in this image?,The circle is red in this image,red | red | red,True,1.0,0.75,1.0,False,1,The circle is red in this image,,,0.4451,0.4439,0.0,0.0,40.5,9.049,1,image+text
synth_cot_baseline_00025,cot,Is the circle on the left or right side?,The circle is on the left side,left | left | left,True,1.0,0.75,1.0,False,1,The circle is on the left side,,,0.5372,0.5361,0.0,0.0,38.0,9.049,1,image+text
synth_cot_baseline_00026,cot,Is the circle on the left or right side?,The circle is on the left side,left | left | left,True,1.0,0.75,1.0,False,1,The circle is on the left side,,,0.5364,0.5353,0.0,0.0,38.5,9.049,1,image+text
synth_cot_baseline_00027,cot,What color is the large rectangle?,The large rectangle is purple.,purple | purple | purple,True,1.0,0.75,1.0,False,1,The large rectangle is purple.,,,0.4465,0.4454,0.0,0.0,42.5,9.049,1,image+text
synth_cot_baseline_00028,cot,What is the dominant color in this image?,The dominant color in this image is red.,maroon | maroon | dark red,True,0.3333,0.75,1.0,False,1,The dominant color in this image is red.,,,0.5314,0.5303,0.0,0.0,42.0,9.049,1,image+text
synth_cot_baseline_00029,cot,What is the dominant color in this image?,red is the dominant color in this image,red | red | red,True,1.0,0.75,1.0,False,1,red is the dominant color in this image,,,0.4984,0.4973,0.0,0.0,38.0,9.049,1,image+text
synth_cot_baseline_00030,cot,What is the dominant color in this image?,The dominant color in this image is green,green | green | green,True,1.0,0.75,1.0,False,1,The dominant color in this image is green,,,0.4863,0.4851,0.0,0.0,38.0,9.049,1,image+text
synth_cot_baseline_00031,cot,What color is the large rectangle?,The large rectangle is white.,white | white | white,True,1.0,0.75,1.0,False,1,The large rectangle is white.,,,0.6812,0.68,0.0,0.0,37.5,9.049,1,image+text
synth_cot_baseline_00032,cot,Is there a red shape in this image?,"Yes, there is a red shape in this image",yes | yes | yes,False,0.0,0.75,1.0,True,1,"Yes, there is a red shape in this image",,,0.6323,0.6311,0.0,0.0,37.5,9.049,1,image+text
synth_cot_baseline_00033,cot,Is there a green shape in this image?,Yes there is a green shape in this image,yes | yes | yes,False,0.0,0.75,1.0,True,1,Yes there is a green shape in this image,,,0.5786,0.5773,0.0,0.0,38.0,9.049,1,image+text
synth_cot_baseline_00034,cot,What is the dominant color in this image?,The dominant color is orange.,orange | orange | orange,True,1.0,0.75,1.0,False,1,The dominant color is orange.,,,0.394,0.393,0.0,0.0,42.5,9.049,1,image+text
synth_cot_baseline_00035,cot,Is the background color light or dark?,The background color is light blue.,light | light | medium,False,0.0,0.75,1.0,True,1,The background color is light blue.,,,0.4393,0.4382,0.0,0.0,47.0,9.049,1,image+text
synth_cot_baseline_00036,cot,What color is the background?,a white background,white | white | white,True,1.0,0.8,1.0,False,1,a white background,,,0.3041,0.3031,0.0,0.0,42.5,9.049,1,image+text
synth_cot_baseline_00037,cot,What is the dominant color in this image?,The dominant color in this image is blue.,teal | teal | cyan | blue-green,False,0.0,0.75,1.0,True,1,The dominant color in this image is blue.,,,0.5412,0.54,0.0,0.0,42.0,9.049,1,image+text
synth_cot_baseline_00038,cot,What color is the circle?,The color of the circle is blue.,cyan | cyan | teal | teal,False,0.0,0.75,1.0,True,1,The color of the circle is blue.,,,0.4966,0.4955,0.0,0.0,37.0,9.049,1,image+text
synth_cot_baseline_00039,cot,What color is the large rectangle?,The large rectangle is purple.,purple | purple | purple,True,1.0,0.75,1.0,False,1,The large rectangle is purple.,,,0.4462,0.4451,0.0,0.0,37.5,9.049,1,image+text
synth_cot_baseline_00040,cot,What color is the large rectangle?,The large rectangle is white.,white | white | white,True,1.0,0.75,1.0,False,1,The large rectangle is white.,,,0.6811,0.6799,0.0,0.0,38.0,9.049,1,image+text
synth_cot_baseline_00041,cot,What is the dominant color in this image?,The dominant color in this image is red.,maroon | maroon | dark red,True,0.3333,0.75,1.0,False,1,The dominant color in this image is red.,,,0.538,0.5369,0.0,0.0,38.0,9.049,1,image+text
