sample_id,condition,question,answer,ground_truth,is_correct,vqa_accuracy_score,confidence,consistency,hallucination_flag,selected_pass,pass1_answer,pass2_answer,pass3_answer,latency_total_s,latency_pass1_s,latency_pass2_s,latency_pass3_s,gpu_util_avg_pct,peak_gpu_mem_gb,num_model_calls,modality
synth_cot_baseline_00000,cot_baseline,Is the circle on the left or right side?,The circle is on the left side,left | left | left,True,1.0,0.75,1.0,False,1,The circle is on the left side,,,0.6181,0.6157,0.0,0.0,19.0,9.049,1,image+text
synth_cot_baseline_00001,cot_baseline,Is the circle on the left or right side?,The circle is on the left side,left | left | left,True,1.0,0.75,1.0,False,1,The circle is on the left side,,,0.5413,0.5402,0.0,0.0,38.0,9.049,1,image+text
synth_cot_baseline_00002,cot_baseline,Is the circle on the left or right side?,Is the circle on the left or right side,right | right | right,False,0.0,0.75,1.0,True,1,Is the circle on the left or right side,,,0.5913,0.59,0.0,0.0,37.5,9.049,1,image+text
synth_cot_baseline_00003,cot_baseline,What color is the large rectangle?,The large rectangle is blue.,blue | blue | blue,True,1.0,0.75,1.0,False,1,The large rectangle is blue.,,,0.4862,0.4849,0.0,0.0,37.5,9.049,1,image+text
synth_cot_baseline_00004,cot_baseline,What is the dominant color in this image?,red is the dominant color in this image,red | red | red,True,1.0,0.75,1.0,False,1,red is the dominant color in this image,,,0.488,0.4869,0.0,0.0,38.0,9.049,1,image+text
synth_cot_baseline_00005,cot_baseline,What is the dominant color in this image?,blue is the dominant color in this image,blue | blue | blue,True,1.0,0.75,1.0,False,1,blue is the dominant color in this image,,,0.4869,0.4857,0.0,0.0,38.5,9.049,1,image+text
synth_cot_baseline_00006,cot_baseline,What is the dominant color in this image?,The dominant color in this image is purple,purple | purple | purple,True,1.0,0.75,1.0,False,1,The dominant color in this image is purple,,,0.4937,0.4925,0.0,0.0,38.0,9.049,1,image+text
synth_cot_baseline_00007,cot_baseline,Is there a blue shape in this image?,Yes there is a blue shape in this image,yes | yes | yes,False,0.0,0.75,1.0,True,1,Yes there is a blue shape in this image,,,0.586,0.5848,0.0,0.0,37.5,9.049,1,image+text
synth_cot_baseline_00008,cot_baseline,Is the circle on the left or right side?,The circle is on the left side,left | left | left,True,1.0,0.75,1.0,False,1,The circle is on the left side,,,0.5414,0.54,0.0,0.0,38.0,9.049,1,image+text
synth_cot_baseline_00009,cot_baseline,What color is the circle?,a red circle with a black background,maroon | dark red | red,True,0.6667,0.75,1.0,False,1,a red circle with a black background,,,0.548,0.5469,0.0,0.0,37.0,9.049,1,image+text
synth_cot_baseline_00010,cot_baseline,What color is the large rectangle?,The large rectangle is blue.,blue | blue | blue,True,1.0,0.75,1.0,False,1,The large rectangle is blue.,,,0.4871,0.486,0.0,0.0,38.5,9.049,1,image+text
synth_cot_baseline_00011,cot_baseline,What color is the background?,a white background,white | white | white,True,1.0,0.8,1.0,False,1,a white background,,,0.3035,0.3024,0.0,0.0,44.0,9.049,1,image+text
synth_cot_baseline_00012,cot_baseline,What is the dominant color in this image?,The dominant color in this image is blue.,cyan | cyan | blue,True,0.3333,0.75,1.0,False,1,The dominant color in this image is blue.,,,0.5316,0.5304,0.0,0.0,43.5,9.049,1,image+text
synth_cot_baseline_00013,cot_baseline,What color is the large rectangle?,The large rectangle is green.,green | green | green,True,1.0,0.75,1.0,False,1,The large rectangle is green.,,,0.4936,0.4925,0.0,0.0,38.5,9.049,1,image+text
