sample_id,condition,question,answer,ground_truth,is_correct,vqa_accuracy_score,confidence,consistency,hallucination_flag,selected_pass,pass1_answer,pass2_answer,pass3_answer,latency_total_s,latency_pass1_s,latency_pass2_s,latency_pass3_s,gpu_util_avg_pct,peak_gpu_mem_gb,num_model_calls,modality
synth_self_consistency_00000,self_consistency,What color is the small circle?,green,lime | lime | yellow-green,False,0.0,1.0,1.0,True,1,green,green,green,0.6179,0.287,0.0,0.0,0.0,9.049,3,image+text
synth_self_consistency_00001,self_consistency,What is the dominant color in this image?,a red color is dominant in this image,red | red | red,True,1.0,1.0,1.0,False,1,a red color is dominant in this image,red is the dominant color in this image,red is the dominant color in this image,1.4526,0.5129,0.0,0.0,38.5,9.049,3,image+text
synth_self_consistency_00002,self_consistency,What is the dominant color in this image?,the dominant color in this image is brown,brown | brown | brown,True,1.0,1.0,1.0,False,1,the dominant color in this image is brown,brown is the dominant color in this image,a brown background,1.2352,0.4658,0.0,0.0,42.0,9.049,3,image+text
synth_self_consistency_00003,self_consistency,What color is the large rectangle?,a pink sphere,pink | pink | pink,True,1.0,1.0,1.0,False,1,a pink sphere,the big rectangle is pink,it is pink,0.9247,0.332,0.0,0.0,46.5,9.049,3,image+text
synth_self_consistency_00004,self_consistency,Is the background color light or dark?,dark dark dark,dark | dark | dark,True,1.0,0.6667,0.6667,False,1,the background color is light,dark dark dark,dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark,3.448,0.3389,0.0,0.0,43.0,9.049,3,image+text
synth_self_consistency_00005,self_consistency,Is the background color light or dark?,light,light | light | light,True,1.0,0.6667,0.6667,False,1,light,a light background,dark,0.628,0.1773,0.0,0.0,37.0,9.049,3,image+text
synth_self_consistency_00006,self_consistency,Is the background color light or dark?,dark dark background,dark | dark | medium,True,0.6667,0.6667,0.6667,False,1,dark dark background,dark or light,dark brown color,0.7432,0.245,0.0,0.0,46.5,9.049,3,image+text
synth_self_consistency_00007,self_consistency,What is the dominant color in this image?,the dominant color in this image is yellow,yellow | yellow | yellow,True,1.0,0.6667,0.6667,False,1,the dominant color in this image is yellow,yellow is the dominant color,a yellowish - brownish tone,1.308,0.4672,0.0,0.0,39.5,9.049,3,image+text
synth_self_consistency_00008,self_consistency,What color is the circle in this image?,a yellow circle,yellow | yellow | yellow,True,1.0,0.6667,0.6667,False,1,the white circle in the image is a circle with a black background,a yellow circle,yellow,1.2298,0.7706,0.0,0.0,37.5,9.049,3,image+text
synth_self_consistency_00009,self_consistency,What color is the large rectangle?,the large rectangle is blue,yellow | yellow | yellow,False,0.0,0.3333,0.3333,False,1,the large rectangle is blue,it is a black square,the color is white,1.0202,0.339,0.0,0.0,42.5,9.049,3,image+text
synth_self_consistency_00010,self_consistency,What color is the large rectangle?,white,white | white | white,True,1.0,0.6667,0.6667,False,1,white,a large square,white,0.6376,0.1848,0.0,0.0,41.5,9.049,3,image+text
synth_self_consistency_00011,self_consistency,Is there a purple shape in this image?,yes,no | no | no,False,0.0,0.6667,0.6667,True,1,yes,a square purple shape,yes,0.6527,0.1581,0.0,0.0,47.0,9.049,3,image+text
synth_self_consistency_00012,self_consistency,What color is the circle in this image?,yellow,yellow | yellow | yellow,True,1.0,0.6667,0.6667,False,1,yellow,yellow,white,0.4833,0.1602,0.0,0.0,46.5,9.049,3,image+text
synth_self_consistency_00013,self_consistency,Is the background color light or dark?,dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue,dark | dark | dark,False,0.0,0.6667,0.6667,True,1,dark,dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue dark blue,blue or light,3.3305,0.1612,0.0,0.0,48.5,9.049,3,image+text
synth_self_consistency_00014,self_consistency,What is the dominant color in this image?,the dominant color in this image is purple,purple | purple | purple,True,1.0,1.0,1.0,False,1,the dominant color in this image is purple,a reddish purple color,the dominant color in this image is purple,1.383,0.4817,0.0,0.0,42.0,9.049,3,image+text
synth_self_consistency_00015,self_consistency,Is the background color light or dark?,light or dark,light | light | light,True,1.0,0.6667,0.6667,False,1,light or dark,light,white,0.5741,0.2498,0.0,0.0,41.0,9.049,3,image+text
synth_self_consistency_00016,self_consistency,Is the circle on the left or right side?,the left side,left | left | left,True,1.0,0.6667,0.6667,False,1,the left side,i don't know,i's on the left side,1.1948,0.2561,0.0,0.0,49.0,9.049,3,image+text
synth_self_consistency_00017,self_consistency,Is the circle on the left or right side?,yes,left | left | left,False,0.0,0.6667,0.6667,True,1,yes,is the circle on the left or right side,yes,0.8328,0.1602,0.0,0.0,37.0,9.049,3,image+text
synth_self_consistency_00018,self_consistency,What is the dominant color in this image?,yellow is the dominant color in this image,yellow | yellow | yellow,True,1.0,1.0,1.0,False,1,yellow is the dominant color in this image,yellow is the dominant color in this image,a bright yellow colour dominates the image,1.4486,0.4644,0.0,0.0,40.5,9.049,3,image+text
synth_self_consistency_00019,self_consistency,What is the dominant color in this image?,purple color is dominant in this image,purple | purple | purple,True,1.0,0.6667,0.6667,False,1,purple color is dominant in this image,purple is the dominant color in this image,a lilac background,1.3259,0.4242,0.0,0.0,40.5,9.049,3,image+text
synth_self_consistency_00020,self_consistency,Is the circle on the left or right side?,is the circle on the left or right side,left | left | left,True,1.0,1.0,1.0,False,1,is the circle on the left or right side,left or right side,a circle is on the left side,1.3606,0.509,0.0,0.0,38.0,9.049,3,image+text
