sample_id,condition,question,answer,ground_truth,is_correct,vqa_accuracy_score,confidence,consistency,hallucination_flag,selected_pass,pass1_answer,pass2_answer,pass3_answer,latency_total_s,latency_pass1_s,latency_pass2_s,latency_pass3_s,gpu_util_avg_pct,peak_gpu_mem_gb,num_model_calls,modality
synth_no_pass2_00000,no_pass2,What color is the background?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,1.3593,0.3624,0.0,0.0,18.5,9.14,1,image+text
synth_no_pass2_00001,no_pass2,What color is the large rectangle?,red,maroon | maroon | dark red,True,0.3333,1.0,1.0,False,1,red,red,red,0.3168,0.3071,0.0,0.0,40.5,9.14,1,image+text
synth_no_pass2_00002,no_pass2,What color is the circle?,a red circle,brown | brown | maroon,False,0.0,1.0,1.0,True,1,a red circle,a red circle,red,0.3277,0.3183,0.0,0.0,44.0,9.14,1,image+text
synth_no_pass2_00003,no_pass2,Is there a red shape in this image?,yes,no | no | no,False,0.0,1.0,1.0,True,1,yes,yes,yes,0.2725,0.2628,0.0,0.0,42.5,9.14,1,image+text
synth_no_pass2_00004,no_pass2,What color is the background?,navy blue,navy | dark blue | blue,True,0.6667,1.0,1.0,False,1,navy blue,navy blue,blue,0.2216,0.2123,0.0,0.0,40.5,9.14,1,image+text
synth_no_pass2_00005,no_pass2,What color is the circle in this image?,red,red | red | red,True,1.0,1.0,1.0,False,1,red,red,red,0.2655,0.2563,0.0,0.0,42.0,9.14,1,image+text
synth_no_pass2_00006,no_pass2,What is the dominant color in this image?,the dominant color in this image is green,green | green | green,True,1.0,1.0,1.0,False,1,the dominant color in this image is green,the dominant color in this image is green,green,0.4959,0.4865,0.0,0.0,41.0,9.14,1,image+text
synth_no_pass2_00007,no_pass2,What color is the background?,gray,gray | gray | grey,True,0.6667,1.0,1.0,False,1,gray,gray,gray,0.2218,0.2119,0.0,0.0,38.5,9.14,1,image+text
synth_no_pass2_00008,no_pass2,What color is the background?,the background is white,cream | white | beige,True,0.3333,1.0,1.0,False,1,the background is white,the background is white,white,0.3119,0.3026,0.0,0.0,43.5,9.14,1,image+text
synth_no_pass2_00009,no_pass2,What color is the large rectangle?,navy blue,navy | dark blue | navy,True,0.3333,1.0,1.0,False,1,navy blue,navy blue,blue,0.2196,0.2105,0.0,0.0,46.0,9.14,1,image+text
synth_no_pass2_00010,no_pass2,What color is the small circle?,green,olive | olive | green,True,0.3333,1.0,1.0,False,1,green,green,green,0.3129,0.3033,0.0,0.0,43.5,9.14,1,image+text
synth_no_pass2_00011,no_pass2,What color is the large rectangle?,the large rectangle is green,green | green | green,True,1.0,1.0,1.0,False,1,the large rectangle is green,the large rectangle is green,green,0.3669,0.3578,0.0,0.0,42.5,9.14,1,image+text
synth_no_pass2_00012,no_pass2,What is the dominant color in this image?,the dominant color in this image is green,green | green | green,True,1.0,1.0,1.0,False,1,the dominant color in this image is green,the dominant color in this image is green,green,0.5013,0.492,0.0,0.0,41.0,9.14,1,image+text
synth_no_pass2_00013,no_pass2,What color is the large rectangle?,the large rectangle is white,white | white | white,True,1.0,1.0,1.0,False,1,the large rectangle is white,the large rectangle is white,white,0.3627,0.3531,0.0,0.0,40.5,9.14,1,image+text
synth_no_pass2_00014,no_pass2,What color is the circle in this image?,yellow,yellow | yellow | yellow,True,1.0,1.0,1.0,False,1,yellow,yellow,yellow,0.3181,0.3086,0.0,0.0,44.0,9.14,1,image+text
synth_no_pass2_00015,no_pass2,What color is the circle?,the circle is green,olive | olive | brown,False,0.0,1.0,1.0,True,1,the circle is green,the circle is green,green,0.3194,0.3102,0.0,0.0,46.0,9.14,1,image+text
synth_no_pass2_00016,no_pass2,What is the dominant color in this image?,the dominant color in this image is purple,purple | purple | purple,True,1.0,1.0,1.0,False,1,the dominant color in this image is purple,the dominant color in this image is purple,purple,0.5049,0.4955,0.0,0.0,43.5,9.14,1,image+text
synth_no_pass2_00017,no_pass2,What color is the large rectangle?,the large rectangle is white,white | white | white,True,1.0,1.0,1.0,False,1,the large rectangle is white,the large rectangle is white,white,0.3614,0.3518,0.0,0.0,42.5,9.14,1,image+text
synth_no_pass2_00018,no_pass2,Is the background color light or dark?,a dark background,dark | dark | medium,True,0.6667,1.0,1.0,False,1,a dark background,a dark background,dark,0.315,0.3053,0.0,0.0,45.0,9.14,1,image+text
synth_no_pass2_00019,no_pass2,What color is the circle?,red,maroon | dark red | red,True,0.6667,1.0,1.0,False,1,red,red,red,0.3146,0.305,0.0,0.0,44.5,9.14,1,image+text
synth_no_pass2_00020,no_pass2,What color is the large rectangle?,the large rectangle is white,white | white | white,True,1.0,1.0,1.0,False,1,the large rectangle is white,the large rectangle is white,white,0.376,0.3661,0.0,0.0,34.5,9.049,1,image+text
synth_no_pass2_00021,no_pass2,What is the dominant color in this image?,the dominant color in this image is purple,purple | purple | purple,True,1.0,1.0,1.0,False,1,the dominant color in this image is purple,the dominant color in this image is purple,purple,0.5092,0.4995,0.0,0.0,34.0,9.049,1,image+text
synth_no_pass2_00022,no_pass2,Is the circle on the left or right side?,is the circle on the left side,left | left | left,True,1.0,1.0,1.0,False,1,is the circle on the left side,is the circle on the left side,left,0.4539,0.4441,0.0,0.0,41.0,9.049,1,image+text
