qid,dataset,question,predicted,ground_truth,soft_score,is_exact,is_hallucination,latency_s,model_calls,q_type,pass2_fired,pass3_fired,condition
v2_0,vqav2,Where is he looking?,at the ground,down|down|at table|skateboard|down|table|down|down|down|down,0.0,False,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_1,vqav2,What are the people in the background doing?,watching a skateboarder perform a trick,spectating|watching|watching|watching|watching|watching|watching|watching|watching|watching,0.0,False,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_2,vqav2,What is he on top of?,a bench,table|table|table|picnic table|picnic table|picnic table|picnic table|picnic table|skateboard|picnic table,0.0,False,True,0.05597863718867302,1,simple,False,False,no_retrieval
v2_3,vqav2,What website copyrighted the picture?,yelp,foodiebakercom|foodiebakercom|foodiebaker|foodiebakercom|foodiebakercom|http://foodiebakercom|foodiebakercom|foodiebakercom|foodiebakercom|foodiebaker,0.0,False,True,0.05597863718867302,1,simple,False,False,no_retrieval
v2_4,vqav2,Is this a creamy soup?,no,no|no|no|no|no|no|no|no|no|no,1.0,True,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_5,vqav2,Is this rice noodle soup?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0,True,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_6,vqav2,What is to the right of the soup?,a bowl of noodles,chopsticks|chopsticks|chopsticks|chopsticks|chopsticks|shrimp|chopsticks|chopsticks|chopsticks|chopsticks spoon,0.0,False,True,0.05597863718867302,1,simple,False,False,no_retrieval
v2_7,vqav2,What is the man doing in the street?,crossing the street,crossing it|walking|walking|crossing|crossing road|walking|crossing|walking|crossing|walking,0.0,False,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_8,vqav2,How many photo's can you see?,2,1|1|4|4|4|1|1|4|1|1,0.0,False,True,0.05597863718867302,1,math,False,False,no_retrieval
v2_9,vqav2,What does the truck on the left sell?,ice cream,ice cream|ice cream|ice cream|ice cream|ice cream|ice cream|ice cream|ice cream|ice cream|ice cream,1.0,True,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_10,vqav2,Why is there a gap between the roof and wall?,the cows are laying in the hay,ventilation|provide air|to air out barn from stinky bovines|keep cow safe|airflow|to let sunlight in|yes|yes|for air|air,0.0,False,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_11,vqav2,Is it daylight in this picture?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0,True,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_12,vqav2,Why is the cow laying down?,it is laying down to sleep,tired|tired|4|resting|tired|tired|resting|tired|it's tired|tired,0.0,False,True,0.05597863718867302,1,simple,False,False,no_retrieval
v2_13,vqav2,What color is the grass in this picture?,green,"gray|green|green|black, white|green|gray|green|brown|gray|green",1.0,True,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_14,vqav2,Did the batter hit the ball?,yes,no|no|no|yes|yes|yes|yes|yes|no|yes,1.0,True,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_15,vqav2,How many are playing ball?,1,1|1|1|1|1|1|1|1|1|boy,1.0,True,False,0.05597863718867302,1,math,False,False,no_retrieval
v2_16,vqav2,Is there a chain link fence in the image?,no,no|no|no|no|no|no|no|no|no|no,1.0,True,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_17,vqav2,Is the boy playing baseball?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0,True,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_18,vqav2,Is that a folding chair?,no,no|no|no|no|no|no|no|no|no|no,1.0,True,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_19,vqav2,How many beds?,1,1|1|1|1|1|1|10|1|1|1,1.0,True,False,0.05597863718867302,1,math,False,False,no_retrieval
v2_20,vqav2,What color is the bedspread?,brown,beige|white|pink|white|white|white|yellow|yellow|beige|yellow,0.0,False,True,0.05597863718867302,1,text_reading,False,False,no_retrieval
v2_21,vqav2,How many pictures are there?,2,7|7|7|7|7|7|7|7|7|7,0.0,False,True,0.05597863718867302,1,math,False,False,no_retrieval
v2_22,vqav2,Are these twin mattresses?,no,"no|no|no|no, it is queen|no|no|yes|no|no|no",1.0,True,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_23,vqav2,How many sources of light are there?,2,1|1|1|1|2|1|1|1|1|2,0.6666666666666666,True,False,0.05597863718867302,1,math,False,False,no_retrieval
v2_24,vqav2,Is this room decorated for the 1970s?,no,no|no|no|no|no|no|yes|no|no|no,1.0,True,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_25,vqav2,Are the lights on in this room?,yes,no|no|no|no|no|no|no|no|no|no,0.0,False,True,0.05597863718867302,1,simple,False,False,no_retrieval
v2_26,vqav2,Are the windows big?,no,yes|yes|yes|yes|no|yes|yes|yes|yes|yes,0.3333333333333333,True,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_27,vqav2,What is the chair made of?,wood,"leather|leather|plastic|plastic, vinyl, metal|leather|leather|leather|leather|leather|leather",0.0,False,True,0.05597863718867302,1,simple,False,False,no_retrieval
v2_28,vqav2,Is this room in someone's home?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0,True,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_29,vqav2,Which room is this?,a bedroom,bedroom|bedroom|bedroom|bedroom|bedroom|bedroom|bedroom|bedroom|bedroom|bedroom,1.0,True,False,0.05597863718867302,1,simple,False,False,no_retrieval
v2_30,vqav2,Is the bed white?,no,yes|yes|no|yes|no|no|yes|yes|yes|yes,1.0,True,False,0.05597863718867302,1,simple,False,False,no_retrieval
