sample_id,condition,question,answer,ground_truth,is_correct,vqa_accuracy_score,confidence,consistency,hallucination_flag,selected_pass,pass1_answer,pass2_answer,pass3_answer,latency_total_s,latency_pass1_s,latency_pass2_s,latency_pass3_s,gpu_util_avg_pct,peak_gpu_mem_gb,num_model_calls,modality
synth_baseline_00000,baseline,What is the dominant color in this image?,the dominant color in this image is green,green | green | green,True,1.0,1.0,1.0,False,1,the dominant color in this image is green,the dominant color in this image is green,the dominant color in this image is green,2.2221,0.5192,0.0,0.0,21.0,9.05,1,image+text
synth_baseline_00001,baseline,What color is the circle in this image?,red,red | red | red,True,1.0,1.0,1.0,False,1,red,red,red,0.2654,0.2562,0.0,0.0,41.5,9.05,1,image+text
synth_baseline_00002,baseline,What color is the circle in this image?,yellow,yellow | yellow | yellow,True,1.0,1.0,1.0,False,1,yellow,yellow,yellow,0.3152,0.3062,0.0,0.0,45.0,9.05,1,image+text
synth_baseline_00003,baseline,What color is the circle in this image?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,0.2682,0.2586,0.0,0.0,41.5,9.05,1,image+text
synth_baseline_00004,baseline,Is the circle on the left or right side?,a circle on the left side,right | right | right,False,0.0,1.0,1.0,True,1,a circle on the left side,a circle on the left side,a circle on the left side,0.5401,0.5296,0.0,0.0,36.0,9.05,1,image+text
synth_baseline_00005,baseline,Is there a red shape in this image?,yes,no | no | no,False,0.0,1.0,1.0,True,1,yes,yes,yes,0.2689,0.2596,0.0,0.0,36.5,9.05,1,image+text
synth_baseline_00006,baseline,What is the dominant color in this image?,the dominant color in this image,orange | orange | orange,False,0.0,1.0,1.0,True,1,the dominant color in this image,the dominant color in this image,the dominant color in this image,0.4166,0.4069,0.0,0.0,37.5,9.05,1,image+text
synth_baseline_00007,baseline,What color is the large rectangle?,red,red | red | red,True,1.0,1.0,1.0,False,1,red,red,red,0.3294,0.3199,0.0,0.0,40.5,9.05,1,image+text
synth_baseline_00008,baseline,What color is the large rectangle?,a yellow square,yellow | yellow | yellow,True,1.0,1.0,1.0,False,1,a yellow square,a yellow square,a yellow square,0.3142,0.3051,0.0,0.0,46.0,9.05,1,image+text
synth_baseline_00009,baseline,Is the circle on the left or right side?,a circle on the left side,right | right | right,False,0.0,1.0,1.0,True,1,a circle on the left side,a circle on the left side,a circle on the left side,0.5014,0.4917,0.0,0.0,43.0,9.05,1,image+text
synth_baseline_00010,baseline,What color is the large rectangle?,green,lime | lime | green,True,0.3333,1.0,1.0,False,1,green,green,green,0.3169,0.3075,0.0,0.0,42.0,9.05,1,image+text
synth_baseline_00011,baseline,Is the circle on the left or right side?,is the circle on the left side,left | left | left,True,1.0,1.0,1.0,False,1,is the circle on the left side,is the circle on the left side,is the circle on the left side,0.4499,0.4405,0.0,0.0,43.0,9.05,1,image+text
synth_baseline_00012,baseline,What color is the large rectangle?,a yellow square,yellow | yellow | yellow,True,1.0,1.0,1.0,False,1,a yellow square,a yellow square,a yellow square,0.3206,0.3116,0.0,0.0,39.5,9.05,1,image+text
synth_baseline_00013,baseline,Is the background color light or dark?,dark background,dark | dark | dark,True,1.0,1.0,1.0,False,1,dark background,dark background,dark background,0.2698,0.2603,0.0,0.0,43.0,9.05,1,image+text
synth_baseline_00014,baseline,What is the dominant color in this image?,the dominant color in this image is green,green | green | green,True,1.0,1.0,1.0,False,1,the dominant color in this image is green,the dominant color in this image is green,the dominant color in this image is green,0.5094,0.4996,0.0,0.0,39.5,9.05,1,image+text
synth_baseline_00015,baseline,What color is the circle in this image?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,0.2729,0.2636,0.0,0.0,40.5,9.05,1,image+text
synth_baseline_00016,baseline,What color is the background?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,0.327,0.3157,0.0,0.0,44.0,9.05,1,image+text
synth_baseline_00017,baseline,What is the dominant color in this image?,red is the dominant color in this image,red | red | red,True,1.0,1.0,1.0,False,1,red is the dominant color in this image,red is the dominant color in this image,red is the dominant color in this image,0.4999,0.4905,0.0,0.0,40.5,9.05,1,image+text
synth_baseline_00018,baseline,Is the background color light or dark?,dark background,dark | dark | dark,True,1.0,1.0,1.0,False,1,dark background,dark background,dark background,0.2682,0.2584,0.0,0.0,42.0,9.05,1,image+text
synth_baseline_00019,baseline,What color is the large rectangle?,brown color,brown | brown | brown,True,1.0,1.0,1.0,False,1,brown color,brown color,brown color,0.2691,0.2602,0.0,0.0,45.5,9.05,1,image+text
synth_baseline_00020,baseline,What color is the circle in this image?,yellow,yellow | yellow | yellow,True,1.0,1.0,1.0,False,1,yellow,yellow,yellow,0.3461,0.3349,0.0,0.0,27.0,9.05,1,image+text
synth_baseline_00021,baseline,What is the dominant color in this image?,red is the dominant color in this image,red | red | red,True,1.0,1.0,1.0,False,1,red is the dominant color in this image,red is the dominant color in this image,red is the dominant color in this image,0.5018,0.4924,0.0,0.0,38.0,9.05,1,image+text
synth_baseline_00022,baseline,Is the background color light or dark?,dark blue,dark | dark | dark,False,0.0,1.0,1.0,True,1,dark blue,dark blue,dark blue,0.2237,0.2141,0.0,0.0,38.0,9.05,1,image+text
synth_baseline_00023,baseline,What color is the background?,blue,blue | blue | blue,True,1.0,1.0,1.0,False,1,blue,blue,blue,0.3176,0.3081,0.0,0.0,41.5,9.05,1,image+text
synth_baseline_00024,baseline,What is the dominant color in this image?,the dominant color in this image is green,green | green | green,True,1.0,1.0,1.0,False,1,the dominant color in this image is green,the dominant color in this image is green,the dominant color in this image is green,0.521,0.5113,0.0,0.0,42.0,9.05,1,image+text
synth_baseline_00025,baseline,Is there a red shape in this image?,yes,yes | yes | yes,True,1.0,1.0,1.0,False,1,yes,yes,yes,0.3213,0.3114,0.0,0.0,42.0,9.05,1,image+text
synth_baseline_00026,baseline,Is the background color light or dark?,dark,light | light | light,False,0.0,1.0,1.0,True,1,dark,dark,dark,0.2233,0.2142,0.0,0.0,41.5,9.05,1,image+text
synth_baseline_00027,baseline,What is the dominant color in this image?,the dominant color in this image is yellow,yellow | yellow | yellow,True,1.0,1.0,1.0,False,1,the dominant color in this image is yellow,the dominant color in this image is yellow,the dominant color in this image is yellow,0.5018,0.4921,0.0,0.0,41.5,9.05,1,image+text
synth_baseline_00028,baseline,What is the dominant color in this image?,the dominant color in this image is yellow,yellow | yellow | yellow,True,1.0,1.0,1.0,False,1,the dominant color in this image is yellow,the dominant color in this image is yellow,the dominant color in this image is yellow,0.5058,0.4964,0.0,0.0,40.5,9.05,1,image+text
synth_baseline_00029,baseline,What color is the circle?,the circle is green,olive | olive | brown,False,0.0,1.0,1.0,True,1,the circle is green,the circle is green,the circle is green,0.3154,0.306,0.0,0.0,40.5,9.05,1,image+text
synth_baseline_00030,baseline,What color is the small circle?,green,lime | lime | yellow-green,False,0.0,1.0,1.0,True,1,green,green,green,0.3161,0.3062,0.0,0.0,43.5,9.05,1,image+text
synth_baseline_00031,baseline,What is the dominant color in this image?,red is the dominant color in this image,red | red | red,True,1.0,1.0,1.0,False,1,red is the dominant color in this image,red is the dominant color in this image,red is the dominant color in this image,0.5066,0.4972,0.0,0.0,40.0,9.05,1,image+text
synth_baseline_00032,baseline,What color is the background?,navy blue,navy | dark blue | blue,True,0.6667,1.0,1.0,False,1,navy blue,navy blue,navy blue,0.2204,0.2109,0.0,0.0,39.5,9.05,1,image+text
synth_baseline_00033,baseline,What color is the background?,white,white | white | white,True,1.0,1.0,1.0,False,1,white,white,white,0.3115,0.3021,0.0,0.0,42.5,9.05,1,image+text
